,LINK,sector,company_code,company_name
194,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI,foodprocessing,HFI,heritagefoods
195,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM,auto23wheelers,HHM,heromotocorp
196,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hexawaretechnologies/HT02,computerssoftware,HT02,hexawaretechnologies
197,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/himachalfuturisticcommunication/HFC,telecommunicationsequipment,HFC,himachalfuturisticcommunication
198,http://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/himatsingkaseide/HS,textilessyntheticsilk,HS,himatsingkaseide
199,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/hindustanconstructioncompany/HCC,constructioncontractingcivil,HCC,hindustanconstructioncompany
200,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustancopper/HC07,metalsnonferrous,HC07,hindustancopper
201,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,metalsnonferrous,HZ,hindustanzinc
202,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,aluminium,HI,hindalcoindustries
203,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04,telecommunicationsequipment,HA04,honeywellautomation
204,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,refineries,HPC,hindustanpetroleumcorporation
205,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/hsil/HSI02,ceramicsgranite,HSI02,hsil
206,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,personalcare,HU,hindustanunilever
207,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,banksprivatesector,ICI02,icicibank
208,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01,financegeneral,IPL01,iciciprudentiallifeinsurancecompany
209,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR,miscellaneous,ICR,icra
210,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/idbibank/IDB05,bankspublicsector,IDB05,idbibank
211,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/ideacellular/IC8,telecommunicationsservice,IC8,ideacellular
212,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF,financetermlendinginstitutions,IDF,idfc
213,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcbank/IDF01,banksprivatesector,IDF01,idfcbank
214,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02,financetermlendinginstitutions,IFC02,ifci
215,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04,oildrillingandexploration,IG04,indraprasthagas
216,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15,financegeneral,II15,iiflholdings
217,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/ilandfstransportationnetworks/ITN,infrastructuregeneral,ITN,ilandfstransportationnetworks
218,http://www.moneycontrol.com/india/stockpricequote/cementmajor/indiacements/IC,cementmajor,IC,indiacements
219,http://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,financehousing,IHF01,indiabullshousingfinance
